,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FIPS
159,FLORIDA,Escambia,2018,365,306,59,0,0,0,0,93,54,38,0,0,314,51,0,
160,FLORIDA,Flagler,2018,345,330,15,0,0,0,0,77,47,32,0,0,345,0,0,
161,FLORIDA,Hamilton,2018,307,205,102,0,0,0,0,69,56,43,0,0,0,307,0,
162,FLORIDA,Highlands,2018,351,337,13,1,0,0,0,108,47,31,0,0,351,0,0,
163,FLORIDA,Hillsborough,2018,365,168,193,4,0,0,0,122,63,51,0,0,67,298,0,
164,FLORIDA,Holmes,2018,346,236,110,0,0,0,0,81,58,43,0,0,79,267,0,
165,FLORIDA,Indian River,2018,356,325,30,1,0,0,0,101,49,36,0,0,356,0,0,
166,FLORIDA,Lake,2018,363,331,31,1,0,0,0,101,49,33,0,0,363,0,0,
167,FLORIDA,Lee,2018,365,294,70,1,0,0,0,106,57,38,0,0,212,153,0,
168,FLORIDA,Leon,2018,355,217,138,0,0,0,0,97,61,46,0,0,58,297,0,
169,FLORIDA,Liberty,2018,284,273,11,0,0,0,0,71,47,31,0,0,284,0,0,
170,FLORIDA,Manatee,2018,365,330,33,2,0,0,0,119,50,34,0,0,365,0,0,
171,FLORIDA,Marion,2018,365,273,92,0,0,0,0,90,56,42,0,0,86,279,0,
172,FLORIDA,Martin,2018,365,285,79,1,0,0,0,112,55,42,0,0,109,256,0,
173,FLORIDA,Miami-Dade,2018,365,194,167,4,0,0,0,126,61,49,0,8,49,307,1,
174,FLORIDA,Nassau,2018,271,192,79,0,0,0,0,86,56,43,0,0,0,271,0,
175,FLORIDA,Okaloosa,2018,353,325,28,0,0,0,0,80,49,33,0,0,345,0,8,
176,FLORIDA,Orange,2018,365,286,77,1,1,0,0,151,55,40,0,0,191,174,0,
177,FLORIDA,Osceola,2018,365,330,33,2,0,0,0,126,50,33,0,0,365,0,0,
178,FLORIDA,Palm Beach,2018,365,260,105,0,0,0,0,91,58,42,0,0,152,202,11,
179,FLORIDA,Pasco,2018,365,324,39,2,0,0,0,129,54,35,0,0,365,0,0,
180,FLORIDA,Pinellas,2018,365,245,120,0,0,0,0,100,59,46,0,0,103,260,2,
181,FLORIDA,Polk,2018,365,290,73,2,0,0,0,112,56,39,0,0,152,213,0,
182,FLORIDA,Putnam,2018,302,301,1,0,0,0,0,51,23,14,0,0,0,0,302,
183,FLORIDA,Santa Rosa,2018,363,240,123,0,0,0,0,90,58,43,0,0,109,254,0,
184,FLORIDA,Sarasota,2018,365,239,126,0,0,0,0,97,60,45,0,0,102,263,0,
185,FLORIDA,Seminole,2018,365,309,54,2,0,0,0,150,58,39,0,0,191,174,0,
186,FLORIDA,St. Lucie,2018,360,342,18,0,0,0,0,100,47,33,0,0,360,0,0,
187,FLORIDA,Volusia,2018,365,291,74,0,0,0,0,80,55,41,0,0,143,222,0,
